committee,daon,decentruth,seenfeed
4.373259349,4.3413011820000005,11.660743987,8.252991819
4.544817765,8.839515614,23.400512452,16.629897735
4.601253951,13.127680123,35.087827554,25.178552073
4.657564121,17.638737959,46.784999856,33.675667774
8.780085125,22.486744887,58.545133083,41.998903643
9.170236172,27.134454437,70.159958893,50.260092765
9.179399777,31.636899201,81.09898511499999,58.451237135
9.095025329,36.257084081,92.124637364,66.662467444
13.384528308,40.768899334,103.51894353,74.94656181
13.651372565,45.013843480000006,115.217825963,83.329867054
13.774078499000002,49.41222814,126.69304436,91.839836737
13.519991874,54.131584211,138.922796898,100.198744247
18.090936335,58.627358328,150.260834595,108.87416861
18.107848367,63.249981788,161.57479439600002,117.126373151
18.486488484,67.869896743,172.95281110300002,125.732419549
18.229129689,72.43723724099999,184.46551668900003,134.474052038
22.680064926,77.20964875399999,195.43531397100003,142.505061004
22.647165917,81.64297928599998,206.51622137100003,151.072042429
23.151488593000003,86.30912186299999,218.09603580900003,159.454344558
22.80754297,90.549228502,229.474114045,167.895376944
27.007972652,95.1218893,241.07913945,176.13011981399998
27.433685079,99.827160418,253.014484119,184.485790532
27.918769760000004,104.41644999,265.040144705,193.06510891
27.552486673,108.933529817,275.799763364,201.340233599
31.485540915,113.580978013,287.452611446,209.455261474
31.923365822,117.957993843,298.651628427,217.898232048
32.303172835000005,122.651429064,309.851305316,226.152644941
32.228327439,127.181896537,320.914762964,234.237001181
36.111834908,131.677399766,332.038274823,242.733873352
36.61007667,136.387545385,343.485991326,251.205731061
36.731049549000005,140.708042054,354.697154509,259.82871145400003
36.922434137,145.370394638,366.626450238,267.89104331000004
40.502314354,149.86816503199998,378.205605287,276.38393993700004
41.362062441,154.516340881,389.41239031,284.966926628
41.25254897400001,158.89835025399998,400.587393714,293.140330699
41.319688484,163.59319804799998,412.58939401,301.52029265
44.894193913,168.224098439,423.789477272,310.059814082
45.951395544,173.046811766,436.066541087,318.40876205300003
45.92035753700001,177.438034707,447.5588146390001,326.584817611
45.724825867,181.758193442,458.7238119940001,334.94149088300003
49.430549017,186.238472014,470.7796727070001,343.189606602
50.682503987,190.727057215,481.9534508960001,351.610384947
50.09767829600001,195.281531387,493.1661586250001,359.698245377
50.442288019,199.935279794,504.82165603300007,367.943933067
54.005068202,204.40912729,516.3517073570001,376.51711294
