time,committee,daon,decentruth,seenfeed,deepthought
636,14380.0,18037.0,20000.0,19160.0,19994
641,14380.0,18037.0,20000.0,19160.0,19994
646,12260.0,18037.0,19360.0,19160.0,19994
651,12260.0,18037.0,19360.0,19160.0,19991
656,12260.0,18037.0,19360.0,19160.0,19991
661,12260.0,18037.0,19360.0,19160.0,19991
666,12260.0,18037.0,19360.0,19160.0,19991
671,12260.0,18037.0,19360.0,19160.0,19991
676,12260.0,18037.0,19360.0,19160.0,19990
681,12260.0,18037.0,19360.0,19160.0,19990
686,12260.0,18037.0,19360.0,19160.0,19990
691,12260.0,18037.0,19360.0,19160.0,19990
696,12260.0,18037.0,19360.0,19160.0,19990
701,12260.0,18037.0,19360.0,19160.0,19990
706,12260.0,18037.0,19360.0,19160.0,19990
711,12260.0,18037.0,19360.0,19160.0,19990
716,12260.0,18037.0,19360.0,19160.0,19990
721,12260.0,18037.0,19360.0,19160.0,19990
726,12260.0,18037.0,19360.0,19160.0,19990
731,12260.0,18037.0,19360.0,19160.0,19990
736,12260.0,18037.0,19360.0,19160.0,19990
741,12260.0,18037.0,19360.0,19160.0,19990
746,12260.0,18037.0,19360.0,19160.0,19990
751,12260.0,18037.0,19360.0,19160.0,19990
756,12260.0,18037.0,19360.0,19160.0,19990
761,12260.0,18037.0,19360.0,19160.0,19990
766,12260.0,18037.0,19360.0,19160.0,19990
771,12260.0,18037.0,19360.0,19160.0,19990
776,12260.0,18037.0,19360.0,19160.0,19990
781,12260.0,18037.0,19360.0,19160.0,19990
786,12260.0,18037.0,19360.0,19160.0,19990
791,12260.0,18037.0,19360.0,19160.0,19990
796,12260.0,18037.0,19360.0,19160.0,19990
801,12260.0,18037.0,19360.0,19160.0,19990
806,12260.0,18037.0,19360.0,19160.0,19990
811,12260.0,18037.0,19360.0,19160.0,19990
816,12260.0,18037.0,19360.0,19160.0,19990
821,12260.0,18037.0,19360.0,19160.0,19990
826,12260.0,18037.0,19360.0,19160.0,19990
831,12260.0,18037.0,19360.0,19160.0,19990
836,12260.0,18037.0,19360.0,19160.0,19990
841,12260.0,18037.0,19360.0,19160.0,19990
846,12260.0,18037.0,19360.0,19160.0,19990
851,12260.0,18037.0,19360.0,19160.0,19990
856,12260.0,18037.0,19360.0,19160.0,19990
861,12260.0,18037.0,19360.0,19160.0,19990
866,12260.0,18037.0,19360.0,19160.0,19990
871,12260.0,18037.0,19360.0,19160.0,19990
876,12260.0,18037.0,19360.0,19160.0,19990
881,12260.0,18037.0,19360.0,19160.0,19990
886,12260.0,18037.0,19360.0,19160.0,19990
891,12260.0,18037.0,19360.0,19160.0,19990
896,12260.0,18037.0,19360.0,19160.0,19990
901,12260.0,18037.0,19360.0,19160.0,19990
