committee,daon,decentruth,deepthought,seenfeed
4.6926805,4.493716019,11.894996717,28.550118094,8.4334682
4.390784200000001,9.09829995,23.378138561,56.469605025,17.1153038
4.5900033,13.226829380000002,34.750879162000004,85.195242202,25.5296818
4.5605453,17.748530424000002,46.006560262,114.52403438,33.7683438
9.2981415,22.268404225,57.606454552,143.230638244,42.2911084
8.713008,26.930248401,69.023428452,171.749418257,50.4956404
9.1096656,31.235062301,80.67812849200001,200.145897725,58.6192305
9.118285,35.927580376,92.02674860800002,228.650730853,67.204813
13.5342493,40.643771379,103.655346521,257.100990476,75.7685817
13.1375014,45.183804177,114.94057001500002,286.280336668,83.8579452
13.5437155,49.921191634,126.79244276600002,314.783294168,92.4297365
13.5001727,54.535617187,138.07597734600003,343.392961499,100.836348
17.9147145,59.110960175,149.46231946700004,371.368638933,109.1348711
17.9027713,63.592792575,160.60288552700004,400.42647318,117.8132694
18.0814884,68.00967268800001,171.98720992900004,429.058864063,126.0528688
17.8445946,72.535986006,183.75783352600004,457.599077534,134.7874152
22.4049439,77.15505101400001,195.46405523200005,485.807085657,143.4050101
22.319975300000003,81.77775814700001,207.21247392900003,513.2920724640001,151.7973622
22.5160209,86.42628155800001,218.89386365400009,540.5817755850001,160.11440900000002
22.2598256,91.07624373500002,231.1312646380001,568.751609957,168.53936650000003
26.8430547,95.77398030700002,242.3848288380001,597.341756316,177.12703810000002
26.643699000000005,100.187138319,253.68255749500003,625.833901195,185.6237949
26.8644339,104.78192253800002,264.92338375,653.606629819,193.659994
26.7824454,109.19374983500002,276.08966145200003,681.741191928,201.7652713
31.3577296,113.54248694600004,287.561557787,709.5961827250001,210.5177355
30.988310200000004,118.10028857700004,298.63917506800004,737.7647871300001,218.78884040000003
31.4522529,122.48511035900005,309.908801072,766.4076972510001,227.1113548
31.1417083,127.03896736200004,320.85038916400003,794.849560976,235.6175841
35.9152785,131.62472036900004,332.14434462200006,822.996352481,243.725567
35.353580300000004,136.12906073400003,343.42863443600004,851.164644608,252.320015
35.7901043,140.65866138200005,354.65360733800003,879.175050277,260.7677977
35.8348705,145.10150741200005,365.9800506090001,907.232591463,269.02235820000004
40.2665179,149.40759904100003,377.503874503,935.442548749,277.21097870000006
39.81292500000001,153.88147722600004,389.29771428,963.99030947,285.82840860000005
40.2996661,158.29052472600006,400.531093557,991.343533943,294.31506690000003
40.5627099,162.78960840200006,411.682621521,1019.835699005,302.57094870000003
44.6359073,167.09977528500005,422.868023362,1048.280067262,310.81093880000003
44.53566010000001,171.68538223400006,434.3907709390001,1076.4576528639998,319.02107340000003
45.0373527,176.25834824000006,446.09809226300007,1105.0327830739998,327.2037525
45.2020743,180.74050284400005,457.37897568000005,1133.9907930769998,335.3098881
49.1807461,185.00679390200008,468.777339479,1162.2890965379995,343.8186096
48.96097590000001,189.39512766700005,480.046211946,1190.6418541489998,352.3972809
49.4468087,193.83399042300005,491.189002738,1218.3536588989998,360.8394799
49.7522204,198.31853757800005,502.467571234,1247.1791359749998,369.3780113
53.7566109,203.05969527200008,513.574065326,1275.4651990179998,377.7376088
53.30755250000001,207.51359458800005,525.117145271,1304.0142776399998,386.3741932
53.9497433,212.30750727900005,536.876364964,1331.8883378069995,394.63075670000006
54.1139744,216.81119080600004,548.122680316,1360.3763855309996,402.9645467000001
58.2516825,221.08731351100005,559.232515598,1388.6803623499995,411.3904576000001
57.933612800000006,225.43517936800004,570.334135909,1417.2980042659997,419.3486442000001
58.37810149999999,230.01737064100004,581.487320516,1446.4568965709996,427.47918820000007
58.4878856,234.58130699400004,592.315234239,1475.2606225369996,436.16981820000007
62.6738686,239.4634037550001,603.810979323,1503.6277409669997,444.62701460000005
62.82439170000001,244.0241977050001,615.43572994,1531.6927631959995,453.1229052000001
62.7454054,248.34225808900007,626.735174333,1559.7480095839996,461.05789640000006
62.8698034,252.91443203600008,637.743426634,1588.4283714689996,469.19847460000005
67.0515426,257.1374403420001,648.880293431,1616.9606582469996,477.6612446
67.3702829,261.8141044510001,659.9218998360001,1645.3906261999996,486.1421066
67.3864925,266.1846963550001,671.1731956110001,1673.3769297789995,494.53008860000006
67.1359317,270.82204576800007,682.447185757,1701.9139037499997,502.9655589000001
71.76938820000001,274.9898137630001,693.9067966980001,1730.1416342819994,511.1999554000001
71.8518952,279.5919444530001,705.4018283580001,1757.4482997319994,519.5312721
71.7619902,283.9480435150001,716.5671748810001,1785.8392218009994,527.8844052000001
71.8412677,288.21244128400014,727.9898718500001,1814.5601437029995,536.2180485
76.16334700000002,293.01569356800013,739.6756848030001,1842.6951805989995,544.2422924
76.2470359,297.4188863120001,751.4738414420001,1871.4908385849997,552.6422082
76.1506224,301.97931218600013,762.818110979,1900.2899947179997,561.0396405
76.1622282,306.3511312470001,773.8472610030001,1928.9082817429996,569.5440342
80.56923420000001,311.0178784290001,785.4670216690001,1956.8594827479997,577.9147368
80.524126,315.4769065900001,797.2904292460001,1985.0456952109996,586.1295725
80.7013458,320.0005332070001,808.6257102120002,2012.4560323159997,594.273301
80.3182241,324.2700734510001,820.0533730860002,2041.1374452849996,602.4961148
85.04449660000002,328.8783339980001,831.0985238580001,2069.492665828999,611.2472799999999
85.1364196,333.08031883200005,842.4720498020001,2098.043374264,620.0372567
85.2835893,337.416087573,853.4472931430001,2125.799062853999,628.4199636
84.85581289999999,341.89964968500004,865.1749703470001,2153.6616841559994,636.7990932
89.43016760000002,346.34737503200006,876.7354688780001,2180.819040588,645.1137892
89.82297799999999,350.6222419040001,888.7408951280001,2208.9397282869995,653.6286471000001
