consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.6222529s,1.1175079s,8.6528462s,5751,147,2
2.8746939s,1.1621346s,2.214596s,5831,147,2
2.7805825s,1.4794016s,2.3138529s,5835,147,2
2.8460168s,1.4649097s,5.4352979s,5771,147,2
2.7389643s,1.4784488s,8.5563687s,5747,147,2
2.2386226s,1.1113717s,9.0567104s,5735,147,2
2.328467s,1.1869425s,0s,5871,147,2
2.3501189s,1.143732s,0s,5879,147,2
2.4146977s,1.2718538s,0s,5863,147,2
2.5040955s,1.0853856s,0s,5875,147,2
2.9975245s,1.448811s,4.8308885s,5764,147,3
2.4986258s,1.1158826s,5.3321506s,5788,147,3
2.7491427s,1.4232116s,8.3523468s,5736,147,3
2.7736048s,1.1619513s,11.3705873s,5688,147,3
2.750542s,1.442045s,8.3516324s,5760,147,3
2.5888239s,1.1183813s,0s,5859,147,2
2.1083548s,1.0149302s,5.7359879s,5772,147,3
2.2139534s,1.1122085s,5.6382356s,5792,147,3
3.2647191s,1.4937689s,7.852189s,5756,147,3
2.5936865s,1.3063211s,11.570303s,5700,147,3
2.2692309s,1.0551135s,8.8561281s,5724,147,3
2.4746059s,1.4050758s,8.6560436s,5748,147,3
2.5805787s,1.163123s,8.5500708s,5728,147,3
2.8571551s,1.4251582s,2.0142624s,5812,147,3
2.9639664s,1.4714883s,1.9096193s,5832,147,3
2.7607248s,1.1152178s,2.1128609s,5820,147,3
2.5805787s,1.353315s,8.5552506s,5752,147,3
2.7070636s,1.3325014s,11.473407s,5696,147,3
3.0722135s,1.4615758s,1.8108029s,5804,147,3
2.6488155s,1.4115052s,5.2362546s,5776,147,3
2.8127073s,1.4185448s,11.3790996s,5712,147,3
2.5521294s,1.2644864s,5.3357954s,5800,147,3
2.5808094s,1.4172724s,2.3126295s,5824,147,3
2.6588546s,1.1733266s,5.2321088s,5784,147,3
2.8294799s,1.4257288s,11.3779604s,5720,147,3
2.6638505s,1.0601097s,5.236853s,5780,147,3
2.7924323s,1.4024637s,2.1130318s,5828,147,3
2.9349637s,1.2123605s,11.2747617s,5704,147,3
2.6146227s,1.1128313s,8.553085s,5732,147,3
2.5908733s,1.16269s,2.3145908s,5836,147,3
2.6725344s,1.2409296s,5.2354885s,5796,147,3
3.0420177s,1.2762092s,11.172742s,5708,147,3
2.8457764s,1.4302578s,11.3689833s,5692,147,3
2.5777804s,1.1756508s,5.3330498s,5768,147,3
2.2463613s,1.0787166s,11.9712057s,5716,147,3
3.1054935s,1.4615758s,1.8114319s,5816,147,3
2.7297522s,1.213156s,8.453238s,5740,147,3
2.5274529s,1.3516621s,8.6555373s,5744,147,3
2.8138541s,1.2460996s,2.1184057s,5808,147,3
2.4112214s,1.0170329s,2.5206654s,5840,147,3
2.8591429s,1.3592683s,11.3773782s,5684,147,3
2.4159092s,1.1564953s,8.8610957s,5785,148,0
2.1193428s,1.0573084s,9.1576621s,5769,148,0
2.9403611s,1.2399195s,5.5386879s,5817,148,0
3.1171424s,1.3770319s,2.2107048s,5865,148,0
3.0171494s,1.3246547s,11.2770049s,5745,148,0
3.1512018s,1.4328466s,5.3337043s,5801,148,0
2.7345246s,1.2928294s,11.5699883s,5757,148,0
2.5332729s,1.1444875s,8.7540906s,5789,148,0
2.5300841s,1.3869477s,8.7572794s,5781,148,0
2.8554706s,1.2911555s,5.6372351s,5813,148,0
2.5248559s,1.0064296s,2.816648s,5841,148,0
2.3625802s,1.1613295s,6.1374171s,5809,148,0
2.9431407s,1.1317805s,11.3719619s,5737,148,0
2.5411505s,1.4127479s,8.7568027s,5765,148,0
2.3424593s,1.2709905s,8.9614919s,5761,148,0
2.4445341s,1.1062455s,8.8594171s,5777,148,0
2.642008s,1.4604014s,11.6790926s,5733,148,0
2.5477483s,1.1626247s,11.7733523s,5753,148,0
3.0772299s,1.2042606s,5.4341924s,5821,148,0
2.6519577s,1.1789256s,2.7157955s,5845,148,0
2.6621674s,1.2744899s,2.7185959s,5857,148,0
2.8719562s,1.3350367s,2.5152882s,5853,148,0
2.4972137s,1.0607296s,6.0412325s,5825,148,0
2.6841383s,1.3496746s,11.6737258s,5749,148,0
2.8828345s,1.4180684s,2.5148396s,5849,148,0
3.2879583s,1.4988166s,2.1139873s,5861,148,0
2.8127458s,1.445213s,5.7431498s,5833,148,0
2.4940933s,1.3770319s,2.9127468s,5869,148,0
2.5889879s,1.3545205s,2.8178522s,5877,148,0
2.7979559s,1.4692487s,8.5580419s,5793,148,0
2.5987898s,1.0795574s,11.7743574s,5721,148,0
2.8080722s,1.3117225s,11.5685536s,5725,148,0
2.4940933s,1.0277106s,2.9233409s,5873,148,0
3.0347237s,1.3511628s,5.5351967s,5805,148,0
2.3104396s,1.0215956s,12.0745861s,5741,148,0
2.711175s,1.4588102s,8.6567013s,5773,148,0
2.3104396s,1.0204648s,12.0745861s,5729,148,0
2.711175s,1.439442s,8.6567013s,5797,148,0
2.8347986s,1.4923145s,5.740951s,5837,148,0
2.8347986s,1.1587669s,5.740951s,5829,148,0
2.351512s,1.0107282s,0s,5909,148,0
2.5267259s,1.2505174s,0s,5901,148,0
2.8263769s,1.2130641s,202.442ms,5954,150,1
3.263434s,1.4832492s,6.040282s,5866,150,1
2.8862333s,1.2506495s,9.3662842s,5822,150,1
2.7673874s,1.1524427s,6.540884s,5850,150,1
2.3897339s,1.2627426s,9.8627836s,5838,150,1
2.3688762s,1.1985834s,6.9449931s,5858,150,1
2.3957268s,1.0234123s,9.8623886s,5802,150,1
2.429584s,1.0301598s,3.6235362s,5906,150,1
2.6314232s,1.3138092s,3.421697s,5914,150,1
2.276193s,1.0735554s,7.0483376s,5874,150,1
2.5361856s,1.1588528s,3.524911s,5886,150,1
2.1763221s,1.0370444s,7.1487475s,5862,150,1
2.454679s,1.2324414s,602.9101ms,5942,150,1
2.6529743s,1.4805776s,3.4173043s,5898,150,1
2.9678354s,1.4172404s,100.4726ms,5926,150,1
2.5663097s,1.3983127s,501.9983ms,5946,150,1
2.7043138s,1.2155096s,6.6386774s,5846,150,1
2.5275912s,1.4248284s,9.7640992s,5814,150,1
2.5716226s,1.1594365s,503.5123ms,5922,150,1
2.577091s,1.4341247s,502.5786ms,5934,150,1
2.431978s,1.0628537s,9.8666209s,5806,150,1
2.5382966s,1.3691046s,9.7645788s,5830,150,1
2.4733774s,1.3228767s,3.6247296s,5918,150,1
2.9442461s,1.3302392s,9.36208s,5826,150,1
2.6888444s,1.4461759s,402.9911ms,5950,150,1
2.6213146s,1.1625062s,6.7465445s,5878,150,1
2.6930885s,1.3954906s,402.8388ms,5930,150,1
2.5027416s,1.0274484s,604.5011ms,5958,150,1
2.4951642s,1.0626789s,3.6227887s,5894,150,1
2.4030901s,1.0316403s,704.1526ms,5938,150,1
2.2923747s,1.1400508s,3.8255782s,5902,150,1
2.7985596s,1.2769941s,3.3221959s,5910,150,1
2.4640537s,1.3189917s,9.8664888s,5834,150,1
2.771659s,1.3691046s,9.5588835s,5810,150,1
3.1482007s,1.4216347s,6.2380957s,5854,150,1
2.3027758s,1.076034s,3.8195476s,5882,150,1
2.7465883s,1.3863809s,6.6397081s,5842,150,1
3.0107102s,1.2603653s,3.1211092s,5890,150,1
2.3749908s,1.0168967s,9.9650477s,5818,150,1
2.6519514s,1.2559871s,6.743302s,5870,150,1
2.5107035s,1.2179258s,2.5158789s,5996,151,3
2.7304747s,1.3242518s,8.0560481s,5912,151,3
2.9442803s,1.4910832s,5.0312826s,5928,151,3
2.5375286s,1.2745883s,8.2536944s,5888,151,3
2.4375986s,1.4006104s,5.5379643s,5936,151,3
2.6154814s,1.1540033s,2.4184815s,6000,151,3
2.6484707s,1.4407638s,5.3319066s,5956,151,3
2.2417496s,1.1289052s,5.7386277s,5948,151,3
2.7229844s,1.0881213s,2.3131126s,5992,151,3
2.8594615s,1.4410931s,5.1317549s,5960,151,3
3.0190103s,1.3517958s,11.0729915s,5872,151,3
2.1477714s,1.0407619s,8.6597894s,5920,151,3
2.5588054s,1.3616192s,8.2549076s,5904,151,3
2.4209822s,1.1848257s,11.6791892s,5864,151,3
3.2329021s,1.4130109s,10.8706676s,5868,151,3
2.9326672s,1.3062303s,11.1709025s,5844,151,3
2.5378179s,1.1216331s,11.5737289s,5876,151,3
2.4772197s,1.2777652s,5.5373982s,5952,151,3
2.7399254s,1.347104s,11.3747936s,5852,151,3
2.6764777s,1.3936935s,8.1538003s,5892,151,3
2.4573077s,1.1150273s,2.6149163s,5980,151,3
2.4586092s,1.2486243s,2.6221464s,5988,151,3
2.379418s,1.1283179s,8.4634097s,5908,151,3
2.6651374s,1.1679979s,11.4703741s,5856,151,3
2.502578s,1.0203043s,5.5328324s,5924,151,3
2.7719354s,1.2193247s,11.3667189s,5880,151,3
3.0862755s,1.3752434s,2.0128774s,5984,151,3
2.6092812s,1.4052954s,5.434152s,5940,151,3
2.305434s,1.074976s,8.5536593s,5884,151,3
2.2851464s,1.018692s,2.8196269s,5972,151,3
2.6119808s,1.1793066s,8.2549213s,5896,151,3
2.8788913s,1.3706058s,11.2724518s,5860,151,3
2.4899886s,1.3887103s,2.6169731s,5968,151,3
2.5948347s,1.0830538s,2.5168597s,5976,151,3
2.8156601s,1.2972831s,8.0559747s,5900,151,3
2.5948347s,1.109348s,2.5168597s,5964,151,3
2.8156601s,1.460611s,8.0559747s,5916,151,3
3.284441s,1.4879225s,10.8716348s,5848,151,3
2.5218377s,1.3020644s,5.5386988s,5944,151,3
2.8257163s,1.3193394s,5.2348202s,5932,151,3
2.0646418s,1.0131038s,0s,6012,151,3
2.331109s,1.1600063s,0s,6008,151,3
2.7796407s,1.3351899s,6.4406126s,5935,152,2
2.3525027s,1.049961s,0s,6016,151,3
2.4542564s,1.200278s,9.7646258s,5899,152,2
2.8627996s,1.2950054s,3.1179099s,5987,152,2
2.7776544s,1.460437s,100.2919ms,6019,152,2
2.485745s,1.1395484s,402.5158ms,6003,152,2
2.460453s,1.3543813s,9.7703209s,5891,152,2
2.3880934s,1.2911279s,503.129ms,6007,152,2
2.5756459s,1.4830129s,3.4216427s,5991,152,2
2.6732236s,1.3301368s,9.5622377s,5919,152,2
2.5957911s,1.1317336s,6.6440753s,5943,152,2
2.7788848s,1.0985124s,9.4618631s,5887,152,2
2.6803801s,1.3947126s,3.3221951s,5999,152,2
2.1817901s,1.0928647s,3.8287602s,5975,152,2
2.3894709s,1.1309017s,3.6224342s,5979,152,2
2.6066377s,1.2590752s,6.6448112s,5955,152,2
2.9086453s,1.1896983s,6.3428036s,5923,152,2
3.208251s,1.3680481s,6.0431979s,5931,152,2
2.6878942s,1.3168896s,9.5621836s,5883,152,2
2.7888763s,1.1935946s,12.5787252s,5867,152,2
2.6839968s,1.4394109s,9.566081s,5911,152,2
2.9940161s,1.4432939s,9.2583217s,5895,152,2
3.1031224s,1.3535861s,2.9221575s,5967,152,2
2.8946935s,1.1481569s,12.4884915s,5847,152,2
2.9915235s,1.3993827s,12.3916615s,5851,152,2
2.9986289s,1.2983371s,9.2670324s,5903,152,2
2.8105613s,1.3715938s,3.2222353s,5995,152,2
2.709004s,1.2952847s,9.5619653s,5907,152,2
2.5274646s,1.2745176s,402.2096ms,6031,152,2
3.2395438s,1.4768795s,6.0359399s,5927,152,2
3.1175237s,1.3277435s,12.276816s,5855,152,2
2.5396051s,1.069211s,6.7431012s,5939,152,2
2.3353573s,1.1678823s,604.6828ms,6023,152,2
2.7465859s,1.362635s,6.5441018s,5959,152,2
2.6534978s,1.4452458s,301.0892ms,6011,152,2
2.4330603s,1.2973348s,3.6246491s,5983,152,2
2.4547421s,1.1734255s,502.7442ms,6015,152,2
2.4547421s,1.3300094s,502.7442ms,6039,152,2
2.8419347s,1.2603416s,3.220361s,5963,152,2
2.7599094s,1.2891586s,201.4422ms,6035,152,2
2.9522395s,1.3213833s,3.1189726s,5971,152,2
2.6411917s,1.2073256s,12.7857168s,5843,152,2
2.3646419s,1.0402402s,6.9497804s,5947,152,2
2.6526737s,1.4590162s,9.6603775s,5915,152,2
2.7687004s,1.4853346s,6.5457219s,5951,152,2
2.7705896s,1.4346133s,201.1665ms,6027,152,2
2.709678s,1.3814596s,4.9325076s,5961,152,0
2.9211624s,1.3577547s,4.7296145s,5985,152,0
2.9385814s,1.1534226s,7.6507769s,5949,152,0
2.216795s,1.041956s,2.5145988s,6009,152,0
2.7444966s,1.4400627s,7.8484781s,5925,152,0
